No;Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan;
4974;Karyawan 4974;1000004974;Perempuan;Bekasi;Marketing;Director;
4975;Karyawan 4975;1000004975;Laki-laki;Depok;HR;Senior Manager;
4976;Karyawan 4976;1000004976;Laki-laki;Depok;Finance;Supervisor;
4977;Karyawan 4977;1000004977;Perempuan;Bogor;Finance;Manager;
4978;Karyawan 4978;1000004978;Laki-laki;Bogor;HR;Director;
4979;Karyawan 4979;1000004979;Perempuan;Depok;Marketing;Director;
4980;Karyawan 4980;1000004980;Perempuan;Tangerang;Finance;Senior Manager;
4981;Karyawan 4981;1000004981;Perempuan;Bogor;Finance;Senior Manager;
4982;Karyawan 4982;1000004982;Perempuan;Jakarta;HR;Senior Manager;
4983;Karyawan 4983;1000004983;Laki-laki;Jakarta;Operations;Director;
4984;Karyawan 4984;1000004984;Perempuan;Depok;Operations;Manager;
4985;Karyawan 4985;1000004985;Laki-laki;Jakarta;HR;Director;
4986;Karyawan 4986;1000004986;Laki-laki;Depok;HR;Supervisor;
4987;Karyawan 4987;1000004987;Perempuan;Bogor;Marketing;Senior Manager;
4988;Karyawan 4988;1000004988;Laki-laki;Tangerang;HR;Supervisor;
4989;Karyawan 4989;1000004989;Laki-laki;Bogor;Marketing;Staff;
4990;Karyawan 4990;1000004990;Perempuan;Tangerang;Marketing;Staff;
4991;Karyawan 4991;1000004991;Perempuan;Bogor;Finance;Senior Manager;
4992;Karyawan 4992;1000004992;Perempuan;Tangerang;Operations;Staff;
4993;Karyawan 4993;1000004993;Perempuan;Bogor;Marketing;Staff;
4994;Karyawan 4994;1000004994;Perempuan;Tangerang;Finance;Supervisor;
4995;Karyawan 4995;1000004995;Perempuan;Bekasi;Operations;Senior Manager;
4996;Karyawan 4996;1000004996;Laki-laki;Jakarta;Finance;Staff;
4997;Karyawan 4997;1000004997;Perempuan;Jakarta;Operations;Director;
4998;Karyawan 4998;1000004998;Perempuan;Bekasi;Marketing;Staff;
4999;Karyawan 4999;1000004999;Perempuan;Bekasi;HR;Staff;
5000;Karyawan 5000;1000005000;Perempuan;Jakarta;Marketing;Staff;
5001;Karyawan 5001;1000005001;Perempuan;Bogor;IT;Manager;
5002;Karyawan 5002;1000005002;Laki-laki;Jakarta;IT;Manager;
5003;Karyawan 5003;1000005003;Laki-laki;Jakarta;Marketing;Manager;
5004;Karyawan 5004;1000005004;Perempuan;Depok;HR;Supervisor;
5005;Karyawan 5005;1000005005;Laki-laki;Bogor;Finance;Director;
5006;Karyawan 5006;1000005006;Laki-laki;Tangerang;Finance;Director;
5007;Karyawan 5007;1000005007;Perempuan;Jakarta;HR;Manager;
5008;Karyawan 5008;1000005008;Perempuan;Bekasi;IT;Director;
5009;Karyawan 5009;1000005009;Laki-laki;Jakarta;Finance;Supervisor;
5010;Karyawan 5010;1000005010;Laki-laki;Depok;IT;Senior Manager;
5011;Karyawan 5011;1000005011;Perempuan;Tangerang;Marketing;Senior Manager;
5012;Karyawan 5012;1000005012;Laki-laki;Bogor;Marketing;Director;
5013;Karyawan 5013;1000005013;Laki-laki;Bogor;Marketing;Director;
5014;Karyawan 5014;1000005014;Perempuan;Tangerang;HR;Staff;
5015;Karyawan 5015;1000005015;Laki-laki;Tangerang;Finance;Senior Manager;
5016;Karyawan 5016;1000005016;Laki-laki;Bekasi;Operations;Staff;
5017;Karyawan 5017;1000005017;Perempuan;Depok;Marketing;Manager;
5018;Karyawan 5018;1000005018;Laki-laki;Tangerang;HR;Supervisor;
5019;Karyawan 5019;1000005019;Laki-laki;Bekasi;Finance;Staff;
5020;Karyawan 5020;1000005020;Laki-laki;Tangerang;Marketing;Senior Manager;
5021;Karyawan 5021;1000005021;Laki-laki;Depok;IT;Supervisor;
5022;Karyawan 5022;1000005022;Laki-laki;Depok;Operations;Senior Manager;
5023;Karyawan 5023;1000005023;Laki-laki;Bekasi;IT;Staff;
5024;Karyawan 5024;1000005024;Perempuan;Jakarta;HR;Senior Manager;
5025;Karyawan 5025;1000005025;Perempuan;Bogor;IT;Supervisor;
5026;Karyawan 5026;1000005026;Perempuan;Bogor;HR;Supervisor;
5027;Karyawan 5027;1000005027;Laki-laki;Bogor;Finance;Manager;
5028;Karyawan 5028;1000005028;Perempuan;Tangerang;Operations;Manager;
5029;Karyawan 5029;1000005029;Perempuan;Depok;IT;Director;
5030;Karyawan 5030;1000005030;Laki-laki;Bekasi;Finance;Supervisor;
5031;Karyawan 5031;1000005031;Laki-laki;Bekasi;Marketing;Supervisor;
5032;Karyawan 5032;1000005032;Perempuan;Jakarta;Operations;Manager;
5033;Karyawan 5033;1000005033;Laki-laki;Tangerang;Finance;Senior Manager;
5034;Karyawan 5034;1000005034;Laki-laki;Jakarta;Finance;Director;
5035;Karyawan 5035;1000005035;Laki-laki;Tangerang;Marketing;Supervisor;
5036;Karyawan 5036;1000005036;Laki-laki;Tangerang;Operations;Senior Manager;
5037;Karyawan 5037;1000005037;Laki-laki;Bekasi;HR;Director;
5038;Karyawan 5038;1000005038;Laki-laki;Bogor;Operations;Manager;
5039;Karyawan 5039;1000005039;Perempuan;Bekasi;Marketing;Supervisor;
5040;Karyawan 5040;1000005040;Perempuan;Bekasi;IT;Supervisor;
5041;Karyawan 5041;1000005041;Perempuan;Jakarta;HR;Director;
5042;Karyawan 5042;1000005042;Perempuan;Bogor;Finance;Director;
5043;Karyawan 5043;1000005043;Laki-laki;Jakarta;IT;Supervisor;
5044;Karyawan 5044;1000005044;Laki-laki;Tangerang;HR;Manager;
5045;Karyawan 5045;1000005045;Laki-laki;Jakarta;Finance;Senior Manager;
5046;Karyawan 5046;1000005046;Perempuan;Tangerang;HR;Senior Manager;
5047;Karyawan 5047;1000005047;Laki-laki;Depok;Finance;Supervisor;
5048;Karyawan 5048;1000005048;Laki-laki;Tangerang;IT;Senior Manager;
5049;Karyawan 5049;1000005049;Laki-laki;Jakarta;Marketing;Supervisor;
5050;Karyawan 5050;1000005050;Laki-laki;Jakarta;Finance;Staff;
5051;Karyawan 5051;1000005051;Perempuan;Depok;IT;Staff;
5052;Karyawan 5052;1000005052;Perempuan;Bogor;HR;Supervisor;
5053;Karyawan 5053;1000005053;Perempuan;Depok;Marketing;Manager;
5054;Karyawan 5054;1000005054;Laki-laki;Jakarta;Marketing;Senior Manager;
5055;Karyawan 5055;1000005055;Perempuan;Bogor;IT;Staff;
5056;Karyawan 5056;1000005056;Perempuan;Bogor;HR;Manager;
5057;Karyawan 5057;1000005057;Laki-laki;Depok;IT;Senior Manager;
5058;Karyawan 5058;1000005058;Perempuan;Bogor;IT;Director;
5059;Karyawan 5059;1000005059;Laki-laki;Bekasi;HR;Senior Manager;
5060;Karyawan 5060;1000005060;Laki-laki;Jakarta;Finance;Manager;
5061;Karyawan 5061;1000005061;Laki-laki;Bogor;Finance;Staff;
5062;Karyawan 5062;1000005062;Perempuan;Bogor;Marketing;Staff;
5063;Karyawan 5063;1000005063;Perempuan;Bogor;Marketing;Director;
5064;Karyawan 5064;1000005064;Laki-laki;Depok;Finance;Senior Manager;
5065;Karyawan 5065;1000005065;Perempuan;Tangerang;IT;Director;
5066;Karyawan 5066;1000005066;Laki-laki;Bogor;Marketing;Director;
5067;Karyawan 5067;1000005067;Perempuan;Tangerang;Marketing;Staff;
5068;Karyawan 5068;1000005068;Laki-laki;Bekasi;Marketing;Staff;
5069;Karyawan 5069;1000005069;Perempuan;Bekasi;Marketing;Senior Manager;
5070;Karyawan 5070;1000005070;Laki-laki;Jakarta;IT;Supervisor;
5071;Karyawan 5071;1000005071;Perempuan;Tangerang;Operations;Manager;
5072;Karyawan 5072;1000005072;Perempuan;Jakarta;Operations;Manager;
5073;Karyawan 5073;1000005073;Laki-laki;Bekasi;Operations;Supervisor;
5074;Karyawan 5074;1000005074;Laki-laki;Bekasi;HR;Staff;
5075;Karyawan 5075;1000005075;Laki-laki;Bogor;Finance;Director;
5076;Karyawan 5076;1000005076;Perempuan;Bekasi;HR;Staff;
5077;Karyawan 5077;1000005077;Perempuan;Jakarta;Marketing;Director;
5078;Karyawan 5078;1000005078;Perempuan;Bekasi;Finance;Senior Manager;
5079;Karyawan 5079;1000005079;Laki-laki;Bekasi;IT;Staff;
5080;Karyawan 5080;1000005080;Perempuan;Depok;IT;Staff;
5081;Karyawan 5081;1000005081;Perempuan;Bekasi;HR;Director;
5082;Karyawan 5082;1000005082;Laki-laki;Bogor;HR;Director;
5083;Karyawan 5083;1000005083;Laki-laki;Tangerang;Marketing;Director;
5084;Karyawan 5084;1000005084;Perempuan;Tangerang;IT;Director;
5085;Karyawan 5085;1000005085;Laki-laki;Bekasi;Marketing;Staff;
5086;Karyawan 5086;1000005086;Laki-laki;Bogor;Operations;Director;
5087;Karyawan 5087;1000005087;Laki-laki;Jakarta;Marketing;Staff;
5088;Karyawan 5088;1000005088;Perempuan;Bogor;IT;Supervisor;
5089;Karyawan 5089;1000005089;Laki-laki;Bekasi;Operations;Staff;
5090;Karyawan 5090;1000005090;Laki-laki;Bekasi;Operations;Staff;
5091;Karyawan 5091;1000005091;Laki-laki;Bogor;HR;Staff;
5092;Karyawan 5092;1000005092;Perempuan;Tangerang;HR;Director;
5093;Karyawan 5093;1000005093;Laki-laki;Depok;Finance;Staff;
5094;Karyawan 5094;1000005094;Perempuan;Jakarta;IT;Staff;
5095;Karyawan 5095;1000005095;Perempuan;Depok;Marketing;Staff;
5096;Karyawan 5096;1000005096;Laki-laki;Tangerang;Operations;Senior Manager;
5097;Karyawan 5097;1000005097;Laki-laki;Bekasi;Marketing;Director;
5098;Karyawan 5098;1000005098;Laki-laki;Depok;Operations;Senior Manager;
5099;Karyawan 5099;1000005099;Laki-laki;Depok;IT;Senior Manager;
5100;Karyawan 5100;1000005100;Laki-laki;Tangerang;Finance;Supervisor;
5101;Karyawan 5101;1000005101;Laki-laki;Bekasi;HR;Supervisor;
5102;Karyawan 5102;1000005102;Laki-laki;Tangerang;IT;Staff;
5103;Karyawan 5103;1000005103;Laki-laki;Tangerang;Finance;Director;
5104;Karyawan 5104;1000005104;Laki-laki;Bogor;Finance;Senior Manager;
5105;Karyawan 5105;1000005105;Perempuan;Tangerang;Marketing;Senior Manager;
5106;Karyawan 5106;1000005106;Perempuan;Tangerang;Operations;Manager;
5107;Karyawan 5107;1000005107;Perempuan;Depok;Operations;Staff;
5108;Karyawan 5108;1000005108;Perempuan;Jakarta;Operations;Staff;
5109;Karyawan 5109;1000005109;Perempuan;Tangerang;HR;Supervisor;
5110;Karyawan 5110;1000005110;Laki-laki;Depok;Finance;Staff;
5111;Karyawan 5111;1000005111;Laki-laki;Jakarta;Marketing;Senior Manager;
5112;Karyawan 5112;1000005112;Perempuan;Bogor;Finance;Supervisor;
5113;Karyawan 5113;1000005113;Perempuan;Bekasi;Operations;Director;
5114;Karyawan 5114;1000005114;Perempuan;Jakarta;Marketing;Staff;
5115;Karyawan 5115;1000005115;Laki-laki;Tangerang;HR;Staff;
5116;Karyawan 5116;1000005116;Perempuan;Bogor;HR;Staff;
5117;Karyawan 5117;1000005117;Laki-laki;Bekasi;Operations;Senior Manager;
5118;Karyawan 5118;1000005118;Laki-laki;Jakarta;Operations;Manager;
5119;Karyawan 5119;1000005119;Laki-laki;Depok;HR;Staff;
5120;Karyawan 5120;1000005120;Perempuan;Bekasi;Marketing;Manager;
5121;Karyawan 5121;1000005121;Laki-laki;Depok;Finance;Supervisor;
5122;Karyawan 5122;1000005122;Perempuan;Depok;Finance;Director;
5123;Karyawan 5123;1000005123;Perempuan;Jakarta;Marketing;Supervisor;
5124;Karyawan 5124;1000005124;Laki-laki;Depok;Marketing;Senior Manager;
5125;Karyawan 5125;1000005125;Laki-laki;Jakarta;Marketing;Supervisor;
5126;Karyawan 5126;1000005126;Perempuan;Depok;IT;Staff;
5127;Karyawan 5127;1000005127;Laki-laki;Tangerang;Marketing;Manager;
5128;Karyawan 5128;1000005128;Laki-laki;Bekasi;Operations;Staff;
5129;Karyawan 5129;1000005129;Laki-laki;Depok;HR;Director;
5130;Karyawan 5130;1000005130;Laki-laki;Depok;Operations;Director;
5131;Karyawan 5131;1000005131;Perempuan;Depok;Marketing;Supervisor;
5132;Karyawan 5132;1000005132;Laki-laki;Depok;IT;Staff;
5133;Karyawan 5133;1000005133;Laki-laki;Bekasi;Finance;Senior Manager;
5134;Karyawan 5134;1000005134;Perempuan;Tangerang;Marketing;Director;
5135;Karyawan 5135;1000005135;Laki-laki;Bogor;Finance;Manager;
5136;Karyawan 5136;1000005136;Perempuan;Jakarta;Operations;Staff;
5137;Karyawan 5137;1000005137;Laki-laki;Bogor;Operations;Supervisor;
5138;Karyawan 5138;1000005138;Perempuan;Depok;Operations;Manager;
5139;Karyawan 5139;1000005139;Laki-laki;Depok;Operations;Staff;
5140;Karyawan 5140;1000005140;Perempuan;Jakarta;HR;Supervisor;
5141;Karyawan 5141;1000005141;Perempuan;Depok;HR;Senior Manager;
5142;Karyawan 5142;1000005142;Laki-laki;Jakarta;HR;Manager;
5143;Karyawan 5143;1000005143;Laki-laki;Bekasi;Marketing;Supervisor;
5144;Karyawan 5144;1000005144;Perempuan;Depok;HR;Senior Manager;
5145;Karyawan 5145;1000005145;Perempuan;Tangerang;Operations;Senior Manager;
5146;Karyawan 5146;1000005146;Perempuan;Bekasi;Finance;Staff;
5147;Karyawan 5147;1000005147;Perempuan;Tangerang;HR;Supervisor;
5148;Karyawan 5148;1000005148;Laki-laki;Depok;HR;Staff;
5149;Karyawan 5149;1000005149;Laki-laki;Bogor;Marketing;Senior Manager;
5150;Karyawan 5150;1000005150;Laki-laki;Tangerang;HR;Manager;
5151;Karyawan 5151;1000005151;Perempuan;Depok;HR;Supervisor;
5152;Karyawan 5152;1000005152;Perempuan;Bekasi;Finance;Manager;
5153;Karyawan 5153;1000005153;Perempuan;Bekasi;Marketing;Supervisor;
5154;Karyawan 5154;1000005154;Perempuan;Depok;IT;Senior Manager;
5155;Karyawan 5155;1000005155;Perempuan;Depok;Finance;Senior Manager;
5156;Karyawan 5156;1000005156;Perempuan;Depok;HR;Staff;
5157;Karyawan 5157;1000005157;Perempuan;Depok;IT;Senior Manager;
5158;Karyawan 5158;1000005158;Perempuan;Bekasi;IT;Supervisor;
5159;Karyawan 5159;1000005159;Laki-laki;Depok;HR;Staff;
5160;Karyawan 5160;1000005160;Laki-laki;Bogor;Operations;Staff;
5161;Karyawan 5161;1000005161;Laki-laki;Bekasi;IT;Senior Manager;
5162;Karyawan 5162;1000005162;Perempuan;Depok;HR;Senior Manager;
5163;Karyawan 5163;1000005163;Laki-laki;Depok;Finance;Director;
5164;Karyawan 5164;1000005164;Laki-laki;Depok;Marketing;Senior Manager;
5165;Karyawan 5165;1000005165;Perempuan;Tangerang;Marketing;Director;
5166;Karyawan 5166;1000005166;Laki-laki;Bogor;IT;Director;
5167;Karyawan 5167;1000005167;Perempuan;Bogor;Operations;Manager;
5168;Karyawan 5168;1000005168;Perempuan;Depok;IT;Supervisor;
5169;Karyawan 5169;1000005169;Laki-laki;Depok;Marketing;Supervisor;
5170;Karyawan 5170;1000005170;Perempuan;Jakarta;Finance;Staff;
5171;Karyawan 5171;1000005171;Perempuan;Jakarta;Finance;Supervisor;
5172;Karyawan 5172;1000005172;Perempuan;Bekasi;Finance;Director;
5173;Karyawan 5173;1000005173;Laki-laki;Bogor;Operations;Manager;
5174;Karyawan 5174;1000005174;Perempuan;Bogor;HR;Staff;
5175;Karyawan 5175;1000005175;Perempuan;Depok;HR;Senior Manager;
5176;Karyawan 5176;1000005176;Laki-laki;Jakarta;Operations;Manager;
5177;Karyawan 5177;1000005177;Perempuan;Jakarta;HR;Director;
5178;Karyawan 5178;1000005178;Laki-laki;Depok;Marketing;Director;
5179;Karyawan 5179;1000005179;Laki-laki;Depok;HR;Supervisor;
5180;Karyawan 5180;1000005180;Perempuan;Bekasi;HR;Staff;
5181;Karyawan 5181;1000005181;Laki-laki;Bekasi;HR;Manager;
5182;Karyawan 5182;1000005182;Perempuan;Jakarta;IT;Supervisor;
5183;Karyawan 5183;1000005183;Laki-laki;Bogor;Operations;Manager;
5184;Karyawan 5184;1000005184;Perempuan;Bogor;HR;Supervisor;
5185;Karyawan 5185;1000005185;Perempuan;Tangerang;IT;Manager;
5186;Karyawan 5186;1000005186;Laki-laki;Tangerang;Operations;Staff;
5187;Karyawan 5187;1000005187;Laki-laki;Jakarta;Marketing;Staff;
5188;Karyawan 5188;1000005188;Perempuan;Bogor;HR;Manager;
5189;Karyawan 5189;1000005189;Perempuan;Tangerang;HR;Manager;
5190;Karyawan 5190;1000005190;Laki-laki;Depok;HR;Director;
5191;Karyawan 5191;1000005191;Perempuan;Bogor;HR;Director;
5192;Karyawan 5192;1000005192;Laki-laki;Bekasi;IT;Manager;
5193;Karyawan 5193;1000005193;Perempuan;Tangerang;IT;Supervisor;
5194;Karyawan 5194;1000005194;Perempuan;Bekasi;Marketing;Supervisor;
5195;Karyawan 5195;1000005195;Laki-laki;Jakarta;IT;Director;
5196;Karyawan 5196;1000005196;Laki-laki;Bogor;Marketing;Supervisor;
5197;Karyawan 5197;1000005197;Perempuan;Depok;Marketing;Director;
5198;Karyawan 5198;1000005198;Perempuan;Depok;HR;Staff;
5199;Karyawan 5199;1000005199;Perempuan;Bekasi;Finance;Staff;
5200;Karyawan 5200;1000005200;Laki-laki;Depok;IT;Manager;
5201;Karyawan 5201;1000005201;Laki-laki;Tangerang;HR;Director;
5202;Karyawan 5202;1000005202;Perempuan;Bogor;IT;Manager;
5203;Karyawan 5203;1000005203;Perempuan;Depok;Marketing;Supervisor;
5204;Karyawan 5204;1000005204;Perempuan;Jakarta;HR;Senior Manager;
5205;Karyawan 5205;1000005205;Perempuan;Tangerang;HR;Senior Manager;
5206;Karyawan 5206;1000005206;Perempuan;Jakarta;Finance;Supervisor;
5207;Karyawan 5207;1000005207;Laki-laki;Bekasi;Marketing;Director;
5208;Karyawan 5208;1000005208;Perempuan;Tangerang;Operations;Manager;
5209;Karyawan 5209;1000005209;Laki-laki;Tangerang;Operations;Supervisor;
5210;Karyawan 5210;1000005210;Perempuan;Jakarta;Marketing;Manager;
5211;Karyawan 5211;1000005211;Perempuan;Bekasi;Operations;Supervisor;
5212;Karyawan 5212;1000005212;Laki-laki;Bekasi;Finance;Senior Manager;
5213;Karyawan 5213;1000005213;Laki-laki;Bekasi;Finance;Supervisor;
5214;Karyawan 5214;1000005214;Perempuan;Depok;Marketing;Supervisor;
5215;Karyawan 5215;1000005215;Laki-laki;Bogor;Operations;Staff;
5216;Karyawan 5216;1000005216;Perempuan;Depok;IT;Staff;
5217;Karyawan 5217;1000005217;Perempuan;Depok;HR;Supervisor;
5218;Karyawan 5218;1000005218;Perempuan;Bogor;HR;Senior Manager;
5219;Karyawan 5219;1000005219;Laki-laki;Jakarta;Marketing;Staff;
5220;Karyawan 5220;1000005220;Perempuan;Jakarta;Finance;Supervisor;
5221;Karyawan 5221;1000005221;Perempuan;Bekasi;Finance;Staff;
5222;Karyawan 5222;1000005222;Laki-laki;Bogor;Marketing;Staff;
5223;Karyawan 5223;1000005223;Perempuan;Depok;HR;Supervisor;
5224;Karyawan 5224;1000005224;Perempuan;Bekasi;Marketing;Director;
5225;Karyawan 5225;1000005225;Laki-laki;Depok;Finance;Director;
5226;Karyawan 5226;1000005226;Perempuan;Bekasi;Operations;Supervisor;
5227;Karyawan 5227;1000005227;Perempuan;Jakarta;HR;Director;
5228;Karyawan 5228;1000005228;Perempuan;Tangerang;Operations;Director;
5229;Karyawan 5229;1000005229;Laki-laki;Tangerang;Finance;Staff;
5230;Karyawan 5230;1000005230;Perempuan;Jakarta;Finance;Director;
5231;Karyawan 5231;1000005231;Laki-laki;Bekasi;Marketing;Staff;
5232;Karyawan 5232;1000005232;Laki-laki;Depok;IT;Director;
5233;Karyawan 5233;1000005233;Perempuan;Depok;Marketing;Staff;
5234;Karyawan 5234;1000005234;Perempuan;Bekasi;Marketing;Staff;
5235;Karyawan 5235;1000005235;Perempuan;Jakarta;HR;Director;
5236;Karyawan 5236;1000005236;Laki-laki;Bogor;Finance;Manager;
5237;Karyawan 5237;1000005237;Laki-laki;Depok;Marketing;Staff;
5238;Karyawan 5238;1000005238;Perempuan;Jakarta;IT;Staff;
5239;Karyawan 5239;1000005239;Laki-laki;Bogor;Marketing;Director;
5240;Karyawan 5240;1000005240;Laki-laki;Tangerang;Finance;Staff;
5241;Karyawan 5241;1000005241;Perempuan;Jakarta;IT;Staff;
5242;Karyawan 5242;1000005242;Laki-laki;Jakarta;Operations;Director;
5243;Karyawan 5243;1000005243;Laki-laki;Tangerang;IT;Supervisor;
5244;Karyawan 5244;1000005244;Laki-laki;Bekasi;Operations;Senior Manager;
5245;Karyawan 5245;1000005245;Perempuan;Jakarta;Marketing;Director;
5246;Karyawan 5246;1000005246;Perempuan;Bekasi;HR;Staff;
5247;Karyawan 5247;1000005247;Laki-laki;Tangerang;Marketing;Supervisor;
5248;Karyawan 5248;1000005248;Perempuan;Depok;Operations;Director;
5249;Karyawan 5249;1000005249;Laki-laki;Tangerang;Marketing;Director;
5250;Karyawan 5250;1000005250;Laki-laki;Jakarta;Marketing;Manager;
5251;Karyawan 5251;1000005251;Laki-laki;Depok;Operations;Director;
5252;Karyawan 5252;1000005252;Laki-laki;Jakarta;Marketing;Senior Manager;
5253;Karyawan 5253;1000005253;Perempuan;Tangerang;IT;Director;
5254;Karyawan 5254;1000005254;Laki-laki;Bogor;Operations;Manager;
5255;Karyawan 5255;1000005255;Laki-laki;Tangerang;Operations;Staff;
5256;Karyawan 5256;1000005256;Laki-laki;Tangerang;Marketing;Staff;
5257;Karyawan 5257;1000005257;Laki-laki;Bogor;Finance;Staff;
5258;Karyawan 5258;1000005258;Perempuan;Depok;Operations;Senior Manager;
5259;Karyawan 5259;1000005259;Perempuan;Tangerang;Marketing;Director;
5260;Karyawan 5260;1000005260;Perempuan;Jakarta;HR;Supervisor;
5261;Karyawan 5261;1000005261;Perempuan;Jakarta;IT;Director;
5262;Karyawan 5262;1000005262;Perempuan;Jakarta;HR;Senior Manager;
5263;Karyawan 5263;1000005263;Laki-laki;Jakarta;Marketing;Manager;
5264;Karyawan 5264;1000005264;Perempuan;Bekasi;IT;Senior Manager;
5265;Karyawan 5265;1000005265;Perempuan;Tangerang;HR;Supervisor;
5266;Karyawan 5266;1000005266;Laki-laki;Jakarta;IT;Staff;
5267;Karyawan 5267;1000005267;Perempuan;Jakarta;IT;Manager;
5268;Karyawan 5268;1000005268;Perempuan;Bogor;IT;Manager;
5269;Karyawan 5269;1000005269;Perempuan;Bekasi;Finance;Manager;
5270;Karyawan 5270;1000005270;Laki-laki;Bogor;IT;Staff;
5271;Karyawan 5271;1000005271;Laki-laki;Bekasi;Marketing;Supervisor;
5272;Karyawan 5272;1000005272;Laki-laki;Depok;Finance;Manager;
5273;Karyawan 5273;1000005273;Laki-laki;Jakarta;IT;Supervisor;
5274;Karyawan 5274;1000005274;Laki-laki;Depok;IT;Senior Manager;
5275;Karyawan 5275;1000005275;Laki-laki;Bekasi;Marketing;Supervisor;
5276;Karyawan 5276;1000005276;Perempuan;Depok;Finance;Senior Manager;
5277;Karyawan 5277;1000005277;Perempuan;Jakarta;HR;Staff;
5278;Karyawan 5278;1000005278;Perempuan;Jakarta;Marketing;Senior Manager;
5279;Karyawan 5279;1000005279;Perempuan;Bogor;Marketing;Senior Manager;
5280;Karyawan 5280;1000005280;Perempuan;Tangerang;HR;Director;
5281;Karyawan 5281;1000005281;Perempuan;Bogor;Operations;Manager;
5282;Karyawan 5282;1000005282;Laki-laki;Bekasi;HR;Director;
5283;Karyawan 5283;1000005283;Perempuan;Jakarta;Marketing;Staff;
5284;Karyawan 5284;1000005284;Perempuan;Depok;HR;Senior Manager;
5285;Karyawan 5285;1000005285;Perempuan;Bogor;IT;Senior Manager;
5286;Karyawan 5286;1000005286;Perempuan;Bekasi;HR;Manager;
5287;Karyawan 5287;1000005287;Laki-laki;Bekasi;HR;Senior Manager;
5288;Karyawan 5288;1000005288;Laki-laki;Bekasi;HR;Staff;
5289;Karyawan 5289;1000005289;Laki-laki;Bekasi;Marketing;Senior Manager;
5290;Karyawan 5290;1000005290;Laki-laki;Bogor;Operations;Senior Manager;
5291;Karyawan 5291;1000005291;Perempuan;Bogor;HR;Manager;
5292;Karyawan 5292;1000005292;Laki-laki;Jakarta;Marketing;Director;
5293;Karyawan 5293;1000005293;Laki-laki;Bekasi;Marketing;Manager;
5294;Karyawan 5294;1000005294;Perempuan;Depok;Marketing;Senior Manager;
5295;Karyawan 5295;1000005295;Perempuan;Bogor;Operations;Staff;
5296;Karyawan 5296;1000005296;Perempuan;Bekasi;Marketing;Director;
5297;Karyawan 5297;1000005297;Laki-laki;Depok;Operations;Staff;
5298;Karyawan 5298;1000005298;Laki-laki;Jakarta;Finance;Director;
5299;Karyawan 5299;1000005299;Laki-laki;Bogor;IT;Manager;
5300;Karyawan 5300;1000005300;Perempuan;Bogor;HR;Staff;
5301;Karyawan 5301;1000005301;Perempuan;Tangerang;HR;Director;
5302;Karyawan 5302;1000005302;Laki-laki;Tangerang;Operations;Manager;
5303;Karyawan 5303;1000005303;Perempuan;Tangerang;Marketing;Supervisor;
5304;Karyawan 5304;1000005304;Laki-laki;Jakarta;IT;Manager;
5305;Karyawan 5305;1000005305;Perempuan;Tangerang;Finance;Director;
5306;Karyawan 5306;1000005306;Perempuan;Tangerang;HR;Supervisor;
5307;Karyawan 5307;1000005307;Laki-laki;Bekasi;Marketing;Supervisor;
5308;Karyawan 5308;1000005308;Perempuan;Jakarta;Marketing;Manager;
5309;Karyawan 5309;1000005309;Laki-laki;Bogor;HR;Senior Manager;
5310;Karyawan 5310;1000005310;Laki-laki;Depok;Operations;Staff;
5311;Karyawan 5311;1000005311;Laki-laki;Jakarta;Operations;Supervisor;
5312;Karyawan 5312;1000005312;Laki-laki;Tangerang;HR;Director;
5313;Karyawan 5313;1000005313;Perempuan;Jakarta;IT;Supervisor;
5314;Karyawan 5314;1000005314;Perempuan;Tangerang;IT;Director;
5315;Karyawan 5315;1000005315;Perempuan;Bekasi;HR;Supervisor;
5316;Karyawan 5316;1000005316;Laki-laki;Bogor;Marketing;Supervisor;
5317;Karyawan 5317;1000005317;Perempuan;Jakarta;HR;Manager;
5318;Karyawan 5318;1000005318;Laki-laki;Depok;IT;Director;
5319;Karyawan 5319;1000005319;Perempuan;Tangerang;Marketing;Supervisor;
5320;Karyawan 5320;1000005320;Perempuan;Bogor;IT;Senior Manager;
5321;Karyawan 5321;1000005321;Laki-laki;Bogor;HR;Manager;
5322;Karyawan 5322;1000005322;Laki-laki;Bogor;Finance;Staff;
5323;Karyawan 5323;1000005323;Perempuan;Bogor;IT;Supervisor;
5324;Karyawan 5324;1000005324;Laki-laki;Depok;Marketing;Director;
5325;Karyawan 5325;1000005325;Laki-laki;Bekasi;Finance;Senior Manager;
5326;Karyawan 5326;1000005326;Perempuan;Jakarta;Marketing;Staff;
5327;Karyawan 5327;1000005327;Perempuan;Bekasi;IT;Manager;
5328;Karyawan 5328;1000005328;Laki-laki;Bekasi;Operations;Staff;
5329;Karyawan 5329;1000005329;Perempuan;Bogor;Marketing;Senior Manager;
5330;Karyawan 5330;1000005330;Perempuan;Bogor;Finance;Manager;
5331;Karyawan 5331;1000005331;Laki-laki;Depok;HR;Senior Manager;
5332;Karyawan 5332;1000005332;Perempuan;Bekasi;IT;Manager;
5333;Karyawan 5333;1000005333;Perempuan;Bekasi;Operations;Supervisor;
5334;Karyawan 5334;1000005334;Perempuan;Bekasi;IT;Supervisor;
5335;Karyawan 5335;1000005335;Perempuan;Jakarta;HR;Director;
